"sample_id","true_label","k=3","k=4","k=5","k=6","k=7"
"F403","LumA","3","4","5","5","5"
"F404","LumA","2","2","2","2","2"
"F405","LumA","2","2","2","2","2"
"F406","Her2","2","2","2","2","2"
"F407","LumA","2","2","2","2","2"
"F408","LumA","2","2","2","2","2"
"F409","LumA","2","2","3","3","7"
"F410","LumA","2","2","2","2","2"
"F411","LumB","3","3","4","4","4"
"F412","LumB","2","2","3","3","7"
"F413","LumA","2","2","3","3","7"
"F414","LumB","2","2","2","2","2"
"F415","Basal","3","3","4","6","6"
"F416","LumA","2","2","2","2","2"
"F417","LumA","2","2","2","2","2"
"F418","LumA","3","4","5","5","5"
"F419","LumA","2","2","2","2","2"
"F420","LumA","3","4","5","5","5"
"F421","LumA","2","2","3","3","7"
"F422","LumA","2","2","2","2","2"
"F423","Normal","3","4","5","5","5"
"F424","LumA","3","4","5","5","5"
"F425","Basal","3","3","4","6","6"
"F426","LumA","2","2","3","3","7"
"F427","LumB","2","2","2","2","2"
"F428","LumB","2","2","3","3","3"
"F429","LumA","2","2","3","3","3"
"F430","LumB","2","2","3","3","3"
"F431","Basal","1","1","1","1","1"
"F432","Basal","1","1","1","1","1"
"F433","LumB","3","3","4","4","4"
"F434","LumA","3","3","4","4","4"
"F435","LumA","2","2","3","3","7"
"F436","Basal","1","1","1","1","1"
"F437","LumB","2","2","3","3","3"
"F438","LumA","3","3","4","4","4"
"F439","LumA","3","3","4","4","4"
"F440","LumB","3","3","4","4","4"
"F441","Basal","1","1","1","1","1"
"F442","LumB","3","3","4","6","6"
"F443","LumA","3","4","5","5","5"
"F444","Her2","2","2","2","2","2"
"F445","Her2","3","3","4","6","6"
"F446","Basal","1","1","1","1","1"
"F447","Basal","1","1","1","1","1"
"F448","LumB","2","2","3","3","3"
"F449","LumA","3","3","4","4","4"
"F450","Basal","1","1","1","1","1"
"F451","Basal","1","1","1","1","1"
"F452","LumA","3","3","4","4","4"
"F453","LumB","2","2","3","3","7"
"F454","LumA","2","2","3","3","7"
"F455","Her2","3","3","4","6","6"
"F456","LumB","2","2","3","3","3"
"F457","Basal","1","1","1","1","1"
"F458","Basal","1","1","1","1","1"
"F459","LumA","3","4","5","5","5"
"F460","Basal","1","1","1","1","1"
"F461","Her2","2","2","2","2","2"
"F462","Basal","3","4","5","5","5"
"F463","LumA","3","4","5","5","5"
"F464","LumA","3","4","5","5","5"
"F465","LumA","3","4","5","5","5"
"F466","LumB","2","2","3","3","3"
"F467","LumA","3","4","5","5","5"
"F468","Her2","2","2","2","2","2"
"F469","LumB","2","2","3","3","3"
"F470","LumA","2","2","2","2","2"
"F471","Normal","1","1","1","1","1"
"F472","LumA","2","2","2","2","2"
"F473","LumB","2","2","3","3","7"
"F474","Basal","1","1","1","1","1"
"F475","LumB","2","2","3","3","3"
"F476","LumA","3","4","5","5","5"
"F477","LumA","2","2","2","2","2"
"F478","LumA","2","2","3","3","7"
"F479","LumA","3","4","5","5","5"
